"endTime","artistName","trackName","msPlayed","isPodcast"
"2021-03-17 14:08","Queen","We Will Rock You (Fast) - Live At The Montreal Forum / November 1981",186106,"No"
"2021-03-17 14:11","Queen","Let Me Entertain You - Live At The Montreal Forum / November 1981",168693,"No"
"2021-03-17 14:15","Queen","Play The Game - Live At The Montreal Forum / November 1981",237466,"No"
"2021-03-17 14:23","Queen","Somebody To Love - Live At The Montreal Forum / November 1981",473306,"No"
"2021-03-17 14:25","Queen","Killer Queen - Live At The Montreal Forum / November 1981",119933,"No"
"2021-03-17 14:27","Queen","I'm In Love With My Car - Live At The Montreal Forum / November 1981",123333,"No"
"2021-03-17 14:31","Queen","Get Down, Make Love - Live At The Montreal Forum / November 1981",285933,"No"
"2021-03-17 14:36","Queen","Save Me - Live At The Montreal Forum / November 1981",254733,"No"
"2021-03-17 14:41","Queen","Now I'm Here - Live At The Montreal Forum / November 1981",331600,"No"
"2021-03-17 14:44","Queen","Dragon Attack - Live At The Montreal Forum / November 1981",191760,"No"
"2021-03-17 14:46","Queen","Now I'm Here (Reprise) - Live At The Montreal Forum / November 1981",113106,"No"
"2021-03-17 14:50","Queen","Under Pressure - Live At The Montreal Forum / November 1981",230120,"No"
"2021-03-17 14:54","Queen","Keep Yourself Alive - Live At The Montreal Forum / November 1981",209293,"No"
"2021-03-17 14:57","Queen","Drum And Tympani Solo - Live At The Montreal Forum / November 1981",180066,"No"
"2021-03-17 22:56","Queen","Guitar Solo - Live At The Montreal Forum / November 1981",34116,"No"
"2021-03-20 18:38","Queen","We Will Rock You (Fast) - Live At The Montreal Forum / November 1981",186106,"No"
"2021-03-20 18:41","Queen","Let Me Entertain You - Live At The Montreal Forum / November 1981",168693,"No"
"2021-03-20 18:45","Queen","Play The Game - Live At The Montreal Forum / November 1981",237466,"No"
"2021-03-20 18:53","Queen","Somebody To Love - Live At The Montreal Forum / November 1981",473306,"No"
"2021-03-20 18:55","Queen","Killer Queen - Live At The Montreal Forum / November 1981",119933,"No"
"2021-03-20 18:57","Queen","I'm In Love With My Car - Live At The Montreal Forum / November 1981",123333,"No"
"2021-03-20 19:02","Queen","Get Down, Make Love - Live At The Montreal Forum / November 1981",285933,"No"
"2021-03-20 19:06","Queen","Save Me - Live At The Montreal Forum / November 1981",254733,"No"
"2021-03-20 19:12","Queen","Now I'm Here - Live At The Montreal Forum / November 1981",331600,"No"
