"endTime","artistName","trackName","msPlayed","isPodcast","id"
"2021-08-17 00:58","Rush","Closer To The Heart - Live - Grace Under Pressure Tour",215466,"No","0rbTDlQmG5lAtZrdsFl36w"
"2021-08-17 01:07","Rush","Medley: YYZ / Temples Of Syrinx / Tom Sawyer - Live - Grace Under Pressure Tour",581106,"No","5XFJr7XQL7a40jPp5Pgw0E"
"2021-08-17 01:12","Rush","Vital Signs - Live - Grace Under Pressure Tour",296226,"No","75g9BechGfdA2N6XumCq0b"
"2021-08-17 01:16","Rush","Medley: Finding My Way / In The Mood - Live - Grace Under Pressure Tour",214733,"No","3yCG23QJn2BFows93kCwwb"
"2021-08-21 15:34","Rush","One Little Victory - 2013 Remix",308615,"No","7ijp6uC9H83B7ZIYUCMIEs"
"2021-08-21 15:39","Rush","Ceiling Unlimited - 2013 Remix",328077,"No","0t7XMkbixxJOHaYoNP010X"
"2021-08-26 22:24","Rush","Intro - Grace Under Pressure - Live - Grace Under Pressure Tour",3980,"No","6T6LZhtUncaYlzHPOnmb4G"
"2021-08-27 19:06","Rush","Stick It Out - 2004 Remaster",270680,"No","46xRV0s4voxrYJ59emLzB6"
"2021-08-27 19:11","Rush","Cut to the Chase - 2004 Remaster",288853,"No","5wi98GNrsv7LsOWOOji0Wt"
"2021-08-27 23:20","Rush","Between Sun & Moon - 2004 Remaster",277773,"No","4M8k3O09ksiX6CTDWiDpEr"
"2021-08-27 23:31","Rush","The Speed of Love - 2004 Remaster",301786,"No","3KQCdojAu1aO3BZ2G959e1"
"2021-08-27 23:37","Rush","Double Agent - 2004 Remaster",291360,"No","43kNCjDBX9dRKO5LSC2Wsc"
"2021-08-27 23:41","Rush","Leave That Thing Alone - 2004 Remaster",245826,"No","32DaPcfAuiQtdvRaOQn7qX"
"2021-08-27 23:46","Rush","Cold Fire - 2004 Remaster",266493,"No","2Azr7JIEFYxaV5kp2RJ5lE"
"2021-08-27 23:51","Rush","Everyday Glory - 2004 Remaster",289460,"No","5iR2mMuvTlUDbWM0fEMfEJ"
"2021-08-27 23:51","Rush","Need Some Love",4210,"No","4ssrDczLOdo1veDL3LgHwI"
"2021-08-27 23:54","Rush","In The Mood",213853,"No","2CB4yzH1SBr0q85YniII0M"
"2021-08-28 00:00","Rush","Working Man",966,"No","1gkn90ExKRNAOlhDs4RoW0"
"2021-08-28 00:00","Rush","Before And After",334600,"No","2ix7QGz7AtP7adFF52EDW6"
"2021-08-29 23:32","Rush","Finding My Way",305933,"No","6POxVhw9vbWKn4vXrLo3St"
"2021-08-29 23:39","Rush","Take A Friend",264066,"No","11KIDPIj4gFZ43Q6szqAfB"
"2021-08-29 23:47","Rush","Here Again",454560,"No","1q8VMNy2RTTl7dZhVIU6hk"
"2021-08-29 23:51","Rush","What You're Doing",262106,"No","5ta0Ra3jMlNWKlSyIML7ZI"
"2021-09-06 00:04","Led Zeppelin","Hey, Hey, What Can I Do - Remaster",236760,"No","16VhHtoaOjTU4AJBNSBNQ1"
"2021-09-07 12:37","Data Hackers","Como nós começamos em Data Science - Episódio 01 - Data Hackers",3965149,"Yes","null"
"2021-09-08 12:41","Data Hackers","Como é o dia a dia de um Cientista de Dados - Episódio 02 - Data Hackers",3579794,"Yes","null"
"2021-09-08 13:32","Data Hackers","Data-Driven Products: por dentro da área de produtos orientados a dados - Episódio 03 - Data Hackers",2963230,"Yes","null"
"2021-09-09 12:00","Data Hackers","O que um Engenheiro de Dados faz? - Episódio 04 - Data Hackers Podcast",70,"Yes","null"
"2021-09-10 12:58","Data Hackers","Como criar um time de Data Science - Episódio 05 - Data Hackers Podcast",3522649,"Yes","null"
"2021-09-10 23:37","Queen","Too Much Love Will Kill You",258800,"No","5eDwoZdv3Qftzs8ijKviYg"
"2021-09-10 23:42","Queen","Somebody To Love - Live At The Freddie Mercury Tribute Concert For AIDS Awareness, Wembley / 1992",307360,"No","0c6gaX6Av1GfiXXqfq9Jox"
"2021-09-10 23:52","Queen","Las Palabras De Amor (The Words Of Love)",19713,"No","5hHpNI203ne4TmVP3c9LPq"
"2021-09-11 13:53","Data Hackers","Mulheres em Data Science - Episódio 06 - Data Hackers Podcast",841,"Yes","null"
"2021-09-11 16:09","Data Hackers","Tendências de Data Science para 2019 - Episódio 07 - Data Hackers Podcast",1031,"Yes","null"
"2021-09-11 16:10","Queen","Party - Remastered 2011",22776,"No","1sGDoMG8J6hnOQ4yMwkyF0"
"2021-09-11 23:16","Freddie Mercury","The Great Pretender",204249,"No","7m1JSCGnmorA3tjtWJpDj4"
"2021-09-13 00:09","Data Hackers","Nubank e EBANX: como é trabalhar com Data Science em Fintechs - Episódio 08 - Data Hackers Podcast",1170,"Yes","null"
"2021-09-14 00:43","Data Hackers","Jornalismo de Dados no Estadão - Episódio 09 - Data Hackers Podcast",1029,"Yes","null"
"2021-09-15 13:07","Data Hackers","Kaggle: como vencer competições de Machine Learning — Data Hackers Podcast 10",811,"Yes","null"
"2021-09-16 13:39","Data Hackers","Carreira em Data Science — Data Hackers Podcast 11",1416,"Yes","null"
"2021-09-17 01:28","Data Hackers","Aprendizado e o futuro da educação - Data Hackers Podcast 12",2783,"Yes","null"
"2021-09-19 00:38","Blue Öyster Cult","Box in My Head",225181,"No","6QJmMsK2vCvxPvkeaPFM0F"
"2021-09-19 00:52","Blue Öyster Cult","Tainted Blood",257654,"No","0fH5JH6nF13GqegSQvG0uX"
"2021-09-19 00:57","Blue Öyster Cult","Nightmare Epiphany",330684,"No","4bNuSqQByGNwVSYBttd9Jm"
"2021-09-19 01:07","Blue Öyster Cult","The Machine",254907,"No","2FH9s2d6Kuo3RyvfwGfWL7"
"2021-09-19 01:11","Blue Öyster Cult","Train True (Lennie's Song)",237228,"No","6lO5R7MqS8zBCQRBUqOi9x"
"2021-09-19 01:15","Blue Öyster Cult","The Return of St. Cecilia",252882,"No","2prO2CskUEGM1sErj1tyyi"
"2021-09-19 01:20","Blue Öyster Cult","Stand and Fight",288506,"No","0d6toPSchGTRM7HOGGE8Sy"
"2021-09-19 01:24","Blue Öyster Cult","Florida Man",248635,"No","6XEe0KctR5H9ll1HMQrBZr"
"2021-09-19 01:30","Blue Öyster Cult","The Alchemist",360310,"No","6gqBQnqc30AV9Z8mFu20EF"
"2021-09-19 01:35","Blue Öyster Cult","Secret Road",324203,"No","4D0rMWGCN4xQzSgLDOj634"
"2021-09-19 01:39","Blue Öyster Cult","There's a Crime",217243,"No","5faIQyk8ZehpXPPvBPbXNa"
"2021-09-19 01:42","Blue Öyster Cult","Fight",192410,"No","4QULNfm0fGOq1x7Z6ufi0O"
"2021-09-19 15:55","Blue Öyster Cult","O.D.'d On Life Itself",286786,"No","25bhZC815VKJyXBF15UVje"
"2021-09-19 16:13","Blue Öyster Cult","Eyes on Fire",236533,"No","41E1dJP0U1tlgIsjmPLHhd"
"2021-09-19 16:29","Blue Öyster Cult","This Ain't the Summer of Love",140933,"No","1lyzM8ksTZShD51uQVt8zW"
"2021-09-19 16:32","Blue Öyster Cult","Screams",190133,"No","2KsnSzoJlmfT44jFOqRP1E"
"2021-09-19 16:37","Blue Öyster Cult","After Dark",265973,"No","29PUsW4uzZI39YffXGKlUw"
"2021-09-19 16:42","Blue Öyster Cult","Nosferatu",321480,"No","2Qo5Bpb4Chv3KHhQn4dGWl"
"2021-09-19 16:56","Blue Öyster Cult","Cities On Flame - Live 1979",299116,"No","null"
"2021-09-19 17:11","Blue Öyster Cult","Dominance and Submission",322173,"No","4cOqjEZyN13voCKivT0ae2"
"2021-09-19 17:15","Blue Öyster Cult","ME 262",285693,"No","273lBFpxUCwisTpdnF9cVb"
"2021-09-19 17:39","Blue Öyster Cult","Fallen Angel",194906,"No","1IYjr8q6ZmRxVlTVtBTvQn"
"2021-09-19 17:43","Blue Öyster Cult","The Red & the Black",263226,"No","1mKM34k8n1nLeMF1yt9EKS"
"2021-09-19 17:46","Blue Öyster Cult","She's as Beautiful as a Foot",176240,"No","4dxvxIJyRionBTOIo3v8yH"
"2021-09-19 17:46","Blue Öyster Cult","Sinful Love",9416,"No","0ZulY8etRzj54NLYOYX7jy"
"2021-09-19 18:20","Blue Öyster Cult","Born To Be Wild - Live 1979",378276,"No","null"
"2021-09-19 22:17","Blue Öyster Cult","Tattoo Vampire",13060,"No","1DV0f9SWOku3899QQ8ux93"
"2021-09-19 22:31","Blue Öyster Cult","Joan Crawford",294266,"No","0DcEV14d8zZykcFQ6PI2KQ"
"2021-09-20 01:29","Data Hackers","As maiores tretas e polêmicas no mundo de Dados - Data Hackers Podcast 13",1416,"Yes","null"
"2021-09-25 22:28","Blue Öyster Cult","Transmaniacon MC",199996,"No","59ENhfT8TIFjB30TUVG4PA"
"2021-09-27 12:36","Blue Öyster Cult","Redeemed",21798,"No","1P37l3UBUo49cqATq6Qccz"
"2021-10-04 14:06","Blue Öyster Cult","When the War Comes Home",26537,"No","7aZuLqm3Ft8eUnzDYkJrXR"
"2021-10-04 14:28","Blue Öyster Cult","Dancin' In the Ruins",241460,"No","3hPYZWTZPGBnQ5fCAl6d12"
"2021-10-04 14:40","Blue Öyster Cult","Shooting Shark",430180,"No","2hIPXxsglGrqR1O7j4zt9H"
"2021-10-04 19:09","Blue Öyster Cult","Fireworks",192110,"No","2oX1Mb2560PoRxHAVSpRAM"
"2021-10-04 19:17","Blue Öyster Cult","Stairway to the Stars",222549,"No","3VH9PB4maOkYsS1KKXDBb1"
"2021-10-06 13:10","Blue Öyster Cult","Flaming Telepaths",318650,"No","1SphwtRn4YYVffKnTWaugH"
"2021-10-06 13:49","Blue Öyster Cult","Career of Evil",238950,"No","1hNIb1XdqTfcanT6yr9l4k"
"2021-10-07 13:11","Rush","Force Ten",271193,"No","2B36scXmm2xG35ILOJMmxf"
"2021-10-07 13:16","Rush","Distant Early Warning",296669,"No","1bVnRjdVprR6ZoT67DBxML"
"2021-10-07 13:21","Rush","Dreamline - 2004 Remaster",276532,"No","1hM2HXmeYuEe1VTf0O1IFU"
"2021-10-07 13:31","Rush","Vital Signs",285949,"No","1k0GxoZYv3Yx5mNeXMOZN2"
"2021-10-10 01:59","Rush","Tom Sawyer",46831,"No","3QZ7uX97s82HFYSmQUAN1D"
"2021-10-10 02:34","Rush","Time Stand Still",308730,"No","1uqGSvSc207Zlgi4sGr9RQ"
"2021-10-12 23:29","Histórias em Inglês com Duolingo","Comfort food (Comida para a alma)",1233465,"Yes","null"
"2021-10-24 20:28","Queen","Killer Queen - Live",127503,"No","7AiTvKZk5X8uoKNJIvO1XM"
"2021-10-24 22:48","Pink Floyd","Time",413947,"No","3TO7bbrUKrOSPGRTB5MeCz"
"2021-10-25 22:45","Queen","Now I'm Here - Live",331600,"No","7HA4EkisJwVjgw33HFHXJl"
"2021-10-25 22:49","Queen","Sheer Heart Attack - Live",233693,"No","3NSF4s2vCGy5LRrVCc1OvQ"
"2021-10-26 13:08","Deep Purple","Highway Star - Remastered 2012",366136,"No","null"
"2021-10-26 13:36","Queen","We Will Rock You - Live",129333,"No","1sKXAVkHNIN3hUPP3RhwdL"
"2021-10-26 13:55","Queen","Get Down, Make Love - Live",285933,"No","1es2FFv4VFnRUAO1AuQpxM"
"2021-10-27 15:24","Pink Floyd","Pigs on the Wing 1",4930,"No","19tHmIQsRnebkyK09m2UXE"
"2021-10-27 15:24","Pink Floyd","Dogs",15190,"No","2jvuMDqBK04WvCYYz5qjvG"
"2021-10-27 15:25","Pink Floyd","Pigs (Three Different Ones)",15620,"No","0gEaeqVRHPzRc7HMXtOKc7"
"2021-10-27 15:28","Pink Floyd","Sheep",206660,"No","55e99bv2wlgTYtNEYHWtN1"
"2021-10-27 15:33","Pink Floyd","Money",158920,"No","0vFOzaXqZHahrZp6enQwQb"
"2021-10-29 15:10","Pink Floyd","Comfortably Numb",382173,"No","5HNCy40Ni5BZJFw1TKzRsC"
"2021-10-29 17:06","Rush","In The End",406469,"No","2T6lFb6HFAOkkOnphgwA2R"
"2021-10-29 17:24","Pink Floyd","Fat Old Sun",323600,"No","5qlckstqDQ2RskL0SJsDYx"
"2021-11-06 15:28","Howlin' Wolf","Spoonful",12982,"No","7j02rdE5RVtNcNMuLGY5SS"
"2021-11-06 16:06","Cream","Born Under A Bad Sign - BBC Sessions",4471,"No","2tfWZqnlYUZ9joug4CKjig"
"2021-11-06 16:06","Albert King","Born Under A Bad Sign (with Stevie Ray Vaughan)",17507,"No","6tLKN3h7VxBpwJ2DqVLT4z"
"2021-11-06 16:09","Cream","Born Under A Bad Sign",189429,"No","2uxsnsH0XzOBZkMrSFVmll"
"2021-11-09 16:36","Rainbow","Stargazer",12910,"No","1aDNYyeU62BuQsBAY18i48"
"2021-11-09 22:50","Queen","Radio Ga Ga - Live Aid",245612,"No","5ODSfJ2h7m1Zkg6MIm2C9Q"
"2021-11-09 22:56","Queen","Bohemian Rhapsody - Remastered 2011",354260,"No","7tFiyTwD0nx5a1eklYtX2J"
"2021-11-09 23:02","Queen","Another One Bites The Dust - Remastered 2011",214537,"No","57JVGBtBLCfHw2muk5416J"
"2021-11-09 23:06","Queen","I Want To Break Free - Single Remix",257853,"No","null"
"2021-11-09 23:17","Queen","Somebody To Love - Remastered 2011",296213,"No","6cFZ4PLC19taNlpl9pbGMf"
"2021-11-09 23:24","Queen","Killer Queen - Remastered 2011",179312,"No","7GqWnsKhMtEW0nzki5o0d8"
"2021-11-09 23:27","Queen","We Are The Champions - Remastered 2011",179023,"No","7ccI9cStQbQdystvc6TvxD"
"2021-11-09 23:29","Queen","We Will Rock You - Remastered 2011",121866,"No","54flyrjcdnQdco7300avMJ"
"2021-11-10 01:09","Queen","Crazy Little Thing Called Love - Remastered 2011",163277,"No","35ItUJlMtjOQW3SSiTCrrw"
"2021-11-10 01:12","Queen","Don't Stop Me Now - Remastered 2011",209318,"No","7hQJA50XrCWABAu5v6QZ4i"
"2021-11-10 01:16","Queen","Love Of My Life - Remastered 2011",217179,"No","790YJcgHlN3SaosQCHlWzn"
"2021-11-10 01:20","Queen","Fat Bottomed Girls - 2011 Remaster",255579,"No","4igIYHF3B5VBxEafHauVo3"
"2021-11-10 01:34","Queen","I Want It All - Single Version",242050,"No","5hWx2u74ZAK7aRXixtDx1X"
"2021-11-10 01:38","Queen","We Are The Champions - Live Aid",236798,"No","5SWhZ7Xn6t7TowUp77vaUz"
