"name","uri"
"Black Sabbath","5M52tdBnJaKSvOpJGz8mfZ"
"Queen","1dfeR4HaWDbWqFHLkxsg1d"
"Rush","2Hkut4rAAyrQxRdof7FVJq"
"The Who","67ea9eGLXYMsO2eYQRui3w"
