"trackID","artistName","trackName","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"2qvNzvfmy5nReCFhYHK6x3","Rush","Leave That Thing Alone",0.586,0.933,9,-6.752,0,0.0323,0.000214,0.77,0.0856,0.398,123.002,240652,4
"3k4ML90lCkW9bHvGeGrDIV","Rush","Tai Shan",0.46,0.647,11,-9.704,1,0.0334,0.427,0.107,0.108,0.155,130.238,255293,4
"6kEyuKmF4kZylB5LcuRd8Y","David Bowie","Space Oddity",0.456,0.328,0,-16.131,1,0.0603,0.742,5.39e-06,0.162,0.332,80.808,226667,4
"7HIxje7YI8IRqMS8HsEYOg","Yes","Hold On",0.586,0.776,5,-7.089,1,0.0348,0.0125,2.42e-05,0.292,0.634,117.043,316347,3
"6LzThgSIwLL7wJptXo0rED","Queen","Killer Queen - Live At The Montreal Forum / November 1981",0.543,0.875,0,-5.047,0,0.0476,0.049,2.61e-06,0.572,0.637,122.076,119933,4
"3tcaltthSz9s6awB6koVRo","Led Zeppelin","Good Times Bad Times - Remaster",0.457,0.718,2,-9.994,1,0.0881,0.0803,2.13e-06,0.0513,0.686,93.395,167733,4
"0sA5xCFx2bF3jrz5Y5r0m1","Queen","I'm Going Slightly Mad",0.638,0.576,9,-14.736,0,0.0532,0.564,6.26e-06,0.156,0.364,115.96,262133,4
"0Qnog91b8rD28SXhtBeBOH","Queen","Friends Will Be Friends",0.433,0.409,7,-12.195,1,0.0283,0.0564,2.43e-06,0.324,0.377,75.05,243067,3
"0GTK6TesV108Jj5D3MHsYb","Yes","Owner of a Lonely Heart",0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,268507,4
"6GXlXAfXR7C6u1VjR3VMsm","Led Zeppelin","Communication Breakdown - Remaster",0.384,0.95,2,-7.264,1,0.149,0.161,7.15e-06,0.61,0.454,175.055,148560,4
"5Q0hjqSQBAPg8NWdYOv2QU","Rush","Working Man - Rio Live",0.0639,0.943,2,-6.448,1,0.0634,6.25e-06,0.862,0.915,0.311,67.702,348400,4
"03ya6uxy3Ow4qQPZCPr4YY","Rush","Working Man - R30 Live Version",0.148,0.983,4,-2.939,1,0.178,0.000161,0.0164,0.916,0.338,70.713,373667,4
